,0,1
0,20.813948,1.8603052
1,21.046059,2.743223
2,21.208158,4.0659804
3,21.30492,5.514859
4,21.505508,6.7895555
5,21.402954,7.6101847
6,20.60995,2.339182
7,20.980759,3.1119266
8,21.15088,4.361984
9,21.198273,5.4704123
10,21.203455,6.5767646
11,21.05568,7.373789
12,20.279253,3.117267
13,20.558203,3.690652
14,20.620247,4.5058236
15,20.484903,5.387996
16,20.475203,6.217297
17,20.369394,6.902163
18,19.514002,3.7690437
19,19.866362,4.148468
20,20.141308,4.8919616
21,20.06701,5.4077196
22,19.828146,6.028511
23,19.589674,6.6099973
24,18.608967,4.4376593
25,19.066559,4.630019
26,19.149958,5.0093946
27,19.111618,5.47406
28,18.851227,5.950696
29,18.63073,6.304663
30,18.142115,4.6170187
31,18.56178,4.6844835
32,18.391077,5.1368346
33,18.348417,5.831044
34,18.14958,5.8847938
35,17.929144,6.0903587
36,20.409855,1.9095231
37,20.658857,2.889591
38,20.892622,4.1621075
39,21.032648,5.4654
40,21.065067,6.7014055
41,20.927225,7.5724163
42,20.162495,2.4579358
43,20.600283,3.2809474
44,20.800844,4.3919845
45,20.816422,5.530737
46,20.791739,6.419743
47,20.668163,7.249835
48,19.8799,3.0648308
49,20.025648,3.8083746
50,20.238924,4.60296
51,20.093475,5.321689
52,20.08325,6.1972475
53,19.82874,6.901455
54,19.093401,3.7298977
55,19.207012,4.2623734
56,19.44968,4.827751
57,19.41589,5.394856
58,19.327272,6.093122
59,18.995935,6.533248
60,18.20983,4.0140443
61,18.665638,4.5082498
62,18.59458,4.946095
63,18.505648,5.4455304
64,18.265121,6.1662855
65,17.983955,6.582142
66,17.507614,4.6126685
67,17.789858,4.9380054
68,17.71541,5.2565455
69,17.807638,5.8215637
70,17.414911,6.2087436
71,17.21062,6.503343
72,19.58775,1.9506422
73,19.96498,2.8843234
74,20.086536,4.204567
75,20.160076,5.495287
76,20.265615,6.681082
77,20.093431,7.5630836
78,19.463324,2.5212977
79,19.795977,3.4575222
80,19.940987,4.621991
81,19.947693,5.6022086
82,20.056465,6.4227962
83,19.798887,7.1677036
84,18.929762,3.2023938
85,19.217957,3.869902
86,19.253523,4.7233315
87,19.27854,5.4558444
88,19.16536,6.3388767
89,18.850306,6.9779654
90,17.85117,3.6087034
91,18.347322,4.226929
92,18.372906,5.1320114
93,18.348688,5.541726
94,18.251041,6.4709325
95,17.96265,6.8257647
96,17.012543,4.0255575
97,17.420187,4.600162
98,17.60183,5.181843
99,17.429989,5.4065237
100,17.258327,6.2880926
101,16.894949,6.582751
102,16.579721,4.435888
103,16.71251,5.130221
104,16.615341,5.110901
105,16.753698,5.614499
106,16.222353,6.185976
107,16.171423,6.63081
108,18.935394,2.2606988
109,19.035902,3.08791
110,19.235687,4.3149924
111,19.18442,5.614105
112,19.181396,6.7391453
113,19.20915,7.805328
114,18.551788,2.4873219
115,18.92714,3.443278
116,18.968195,4.6719956
117,19.046625,5.7105284
118,18.91714,6.5822535
119,18.81661,7.4529705
120,17.782654,3.2722676
121,18.159973,3.9236531
122,18.175703,4.993212
123,18.103186,5.441401
124,18.114656,6.302962
125,17.814764,7.1366115
126,16.869385,3.8315105
127,17.117872,4.463479
128,17.057987,5.322639
129,17.155146,5.475167
130,16.967478,6.460917
131,16.734789,6.6934533
132,15.918867,4.3626456
133,16.119322,4.9861026
134,16.101276,5.4603634
135,16.083708,5.7809963
136,15.91214,6.317108
137,15.609196,6.5222034
138,15.249499,4.6895227
139,15.543363,5.2540417
140,15.196327,5.4805827
141,15.242272,6.0400906
142,14.971391,6.5889626
143,14.760876,6.702689
144,18.047287,2.6455617
145,18.260246,3.4041028
146,18.343737,4.65691
147,18.419792,5.8453298
148,18.568247,7.045433
149,18.136393,7.989092
150,17.697477,3.1359725
151,17.871195,3.6033235
152,17.930521,4.806089
153,17.988657,5.872875
154,17.916021,6.9370847
155,17.906755,7.83907
156,16.654041,3.5165904
157,17.100294,4.0559683
158,17.067875,4.964716
159,16.967852,5.6567345
160,16.937876,6.359155
161,16.783373,7.313237
162,15.825548,3.9838128
163,15.895575,4.468476
164,15.769705,5.3162184
165,15.828855,5.935425
166,15.625429,6.345693
167,15.680872,6.900016
168,14.729061,4.388422
169,15.0069,4.871449
170,14.647449,5.6456456
171,14.904003,5.8235683
172,14.727227,6.22613
173,14.490416,6.9903564
174,13.96781,4.9622383
175,14.276673,5.0860944
176,14.077642,5.8117847
177,14.024154,5.8899403
178,13.829271,6.7458587
179,13.588043,6.677886
180,17.373451,2.499351
181,17.422523,3.4332361
182,17.574085,4.7354865
183,17.700562,5.8247848
184,18.02369,7.1600275
185,17.631655,8.026614
186,16.979574,2.9975712
187,16.832254,3.9054415
188,17.06742,4.932503
189,17.001186,5.7842264
190,17.08687,7.08691
191,16.946873,7.584461
192,15.95417,3.7676234
193,15.938412,4.3057704
194,16.042852,5.065027
195,16.030975,5.9428735
196,15.866928,6.72402
197,15.898178,7.2621183
198,14.713703,4.093363
199,15.04851,4.62175
200,15.073898,5.4424148
201,14.933664,6.1524343
202,14.848841,6.5254903
203,14.803683,7.0566306
204,13.890462,4.5189114
205,13.810377,5.032572
206,14.028725,5.6866555
207,13.9064865,5.9131374
208,13.894821,6.7296066
209,13.806615,6.8934965
210,13.326887,4.774704
211,13.502577,5.267542
212,13.515538,5.8315024
213,13.074224,6.3216276
214,13.12518,6.458316
215,12.845092,6.8692827
216,20.560957,1.4121041
217,20.686707,2.3315074
218,20.941769,3.7075722
219,21.084198,5.8754606
220,21.265585,7.270515
221,21.327414,8.101819
222,20.33902,1.9616044
223,20.618399,2.8556123
224,20.750902,4.098557
225,20.838072,5.62429
226,20.936754,6.849985
227,20.727467,7.704821
228,19.78164,2.6239362
229,20.219713,3.4550645
230,20.206768,4.5022225
231,20.127123,5.429989
232,20.037884,6.4534707
233,19.89936,7.2409425
234,19.013578,3.3930616
235,19.504126,3.9956427
236,19.573902,4.8694544
237,19.386011,5.5020967
238,19.222912,6.2505407
239,18.981735,7.0088315
240,18.119648,3.9417033
241,18.693855,4.460278
242,18.630087,4.8965144
243,18.688799,5.5781612
244,18.273197,5.957032
245,18.095793,6.6837854
246,17.377775,4.3697176
247,17.863302,4.477937
248,17.773296,5.0815496
249,17.919632,5.386141
250,17.599508,6.0413823
251,17.389736,6.5701137
252,20.071285,1.4175737
253,20.368528,2.4252913
254,20.467247,3.8364997
255,20.713066,5.9067545
256,20.921038,7.117305
257,20.933872,8.083453
